model,register,rarity,layer,auroc,ci_lo,ci_hi,n
qwen2.5-7b-instruct,clinical_note,common,25,0.711773940345369,0.6814705953387271,0.7403181982852313,910.0
qwen2.5-7b-instruct,clinical_note,rare,25,0.7963988919667591,0.7001211911357341,0.8746883656509695,76.0
qwen2.5-7b-instruct,colloquial,common,25,0.7131650766815602,0.6853409008573844,0.7417268445839874,910.0
qwen2.5-7b-instruct,colloquial,rare,25,0.775623268698061,0.6689577562326872,0.8726281163434902,76.0
qwen2.5-7b-instruct,textbook,common,27,0.778519692168402,0.7151256224535989,0.8349932095971028,188.0
qwen2.5-7b-instruct,textbook,rare,27,0.75,0.25,1.0,8.0
qwen2.5-7b-instruct,patient,common,27,0.7183238739282695,0.692352976693636,0.74530853761623,910.0
qwen2.5-7b-instruct,patient,rare,27,0.842797783933518,0.7624480609418283,0.9182998614958447,76.0
qwen2.5-7b-instruct,clinical_note,common,27,0.6958966308416858,0.6667730950368314,0.7261690617075233,910.0
qwen2.5-7b-instruct,clinical_note,rare,27,0.8074792243767313,0.7181094182825485,0.8836565096952909,76.0
qwen2.5-7b-instruct,colloquial,common,27,0.7084603308779133,0.6797226180412993,0.7376175582659098,910.0
qwen2.5-7b-instruct,colloquial,rare,27,0.7936288088642659,0.6994286703601108,0.8815962603878117,76.0
gemma-3-4b-it,textbook,common,1,0.7210276143051154,0.6619482797645994,0.7846395427795383,188.0
gemma-3-4b-it,textbook,rare,1,0.4375,0.1875,0.75,8.0
gemma-3-4b-it,patient,common,1,0.6707402487622267,0.6430036227508754,0.6959943243569617,910.0
gemma-3-4b-it,patient,rare,1,0.6883656509695292,0.585803324099723,0.7922610803324099,76.0
gemma-3-4b-it,clinical_note,common,1,0.5395048907136819,0.5110071247433885,0.5671350078492935,910.0
gemma-3-4b-it,clinical_note,rare,1,0.5858725761772854,0.489612188365651,0.6883656509695292,76.0
gemma-3-4b-it,colloquial,common,1,0.5963869097935033,0.5673848569013404,0.6247333655355634,910.0
gemma-3-4b-it,colloquial,rare,1,0.5734072022160666,0.4791897506925207,0.6731475069252076,76.0
gemma-3-4b-it,textbook,common,3,0.6779085559076505,0.61102025803531,0.7380517202354006,188.0
